 
list-none-m,1,1000,1,3000,40037442,13345,45
list-none-m,2,1000,1,6000,49198107,8199,5488
list-none-m,4,1000,1,12000,71794351,5982,5820
list-none-m,8,1000,1,24000,415430795,17309,73045
list-none-m,12,1000,1,36000,1636460827,45457,302860
list-none-m,16,1000,1,48000,1372171214,28586,215903
list-none-m,24,1000,1,72000,5690596181,79036,1207818
list-none-s,1,1000,1,3000,29779148,9926,203
list-none-s,2,1000,1,6000,45642094,7607,4444
list-none-s,4,1000,1,12000,326451514,27204,74324
list-none-s,8,1000,1,24000,924608066,38525,232732
list-none-s,12,1000,1,36000,2408069503,66890,565840
list-none-s,16,1000,1,48000,3680689273,76681,983870
list-none-s,24,1000,1,72000,14374816580,199650,4108723
list-id-none,1,1,4,3,59810,19936,0
list-id-none,1,2,4,6,75201,12533,0
list-id-none,1,4,4,12,183597,15299,0
list-id-none,1,8,4,24,68534,2855,0
list-id-none,1,16,4,48,76899,1602,0
list-id-none,4,1,4,12,34606437,2883869,0
list-id-none,4,2,4,24,39049725,1627071,0
list-id-none,4,4,4,48,38047874,792664,0
f f list-id-none,8,1,4,24,62993069,2624711,0
f list-id-none,8,4,4,96,76322906,795030,0
f f list-id-none,12,1,4,36,68049686,1890269,0
f f f f f f f f f list-id-m,1,1,4,3,36079333,12026444,1799
list-id-m,1,2,4,6,25997630,4332938,513
list-id-m,1,4,4,12,25751863,2145988,256
list-id-m,1,8,4,24,30194082,1258086,262
list-id-m,1,16,4,48,33822517,704635,428
list-id-m,4,1,4,12,33432921,2786076,5575902
list-id-m,4,2,4,24,75865687,3161070,3839683
list-id-m,4,4,4,48,465824,9704,149
list-id-m,4,8,4,96,18196398,189545,267989
list-id-m,4,16,4,192,298260,1553,1747
list-id-m,8,1,4,24,330282,13761,536
list-id-m,8,2,4,48,1508070,31418,1155
list-id-m,8,4,4,96,294887,3071,135
list-id-m,8,8,4,192,236314,1230,100
list-id-m,8,16,4,384,1650071,4297,9418
list-id-m,12,1,4,36,78189449,2171929,9566862
list-id-m,12,2,4,72,74292574,1031841,6311290
list-id-m,12,4,4,144,163477310,1135259,7645444
list-id-m,12,8,4,288,199162327,691535,3744156
list-id-m,12,16,4,576,252871690,439013,2366125
list-id-m,16,1,4,48,132575595,2761991,22937221
list-id-m,16,2,4,96,192282107,2002938,16944542
list-id-m,16,4,4,192,167503560,872414,7047435
list-id-m,16,8,4,384,285259845,742864,6967972
list-id-m,16,16,4,768,267804584,348703,2945042
list-id-s,1,1,4,3,51164759,17054919,308
list-id-s,1,2,4,6,32183918,5363986,462
list-id-s,1,4,4,12,24957333,2079777,186
list-id-s,1,8,4,24,25370797,1057116,215
list-id-s,1,16,4,48,21792881,454018,91
list-id-s,4,1,4,12,100252075,8354339,5431449
list-id-s,4,2,4,24,159294012,6637250,8250016
list-id-s,4,4,4,48,92923381,1935903,1145991
list-id-s,4,8,4,96,383066242,3990273,8340380
list-id-s,4,16,4,192,408416603,2127169,3008508
list-id-s,8,1,4,24,173195102,7216462,18293996
list-id-s,8,2,4,48,241029418,5021446,16229602
list-id-s,8,4,4,96,391205974,4075062,18339175
list-id-s,8,8,4,192,589867427,3072226,12560682
list-id-s,8,16,4,384,585115872,1523739,6207130
list-id-s,12,1,4,36,234231193,6506422,32637692
list-id-s,12,2,4,72,352281333,4892796,24990864
list-id-s,12,4,4,144,654005295,4541703,33312646
list-id-s,12,8,4,288,554517702,1925408,14506135
list-id-s,12,16,4,576,10266003,17822,12452
list-id-s,16,1,4,48,93480565,1947511,18953202
list-id-s,16,2,4,96,494977,5156,191
list-id-s,16,4,4,192,452709,2357,83
list-id-s,16,8,4,384,1720576,4480,51
list-id-s,16,16,4,768,655511,853,387
list-none-m,1,1000,4,3000,1476745,492,32
list-none-m,2,1000,4,6000,8717458,1452,994
list-none-m,4,1000,4,12000,24761659,2063,3896
list-none-m,8,1000,4,24000,116504538,4854,25900
list-none-m,12,1000,4,36000,273440806,7595,71188
list-none-m,1,1000,8,3000,13112781,4370,56
list-none-m,2,1000,8,6000,4193823,698,178
list-none-m,4,1000,8,12000,29795283,2482,1218
list-none-m,8,1000,8,24000,69012991,2875,6810
list-none-m,12,1000,8,36000,95044508,2640,13172
list-none-m,1,1000,16,3000,2041661,680,256
list-none-m,2,1000,16,6000,6596359,1099,220
list-none-m,4,1000,16,12000,21132829,1761,200
list-none-m,8,1000,16,24000,46570699,1940,4879
list-none-m,12,1000,16,36000,48824497,1356,3046
list-none-s,1,1000,4,3000,2138669,712,60
list-none-s,2,1000,4,6000,5899529,983,272
list-none-s,4,1000,4,12000,21118865,1759,902
list-none-s,8,1000,4,24000,81468370,3394,16683
list-none-s,12,1000,4,36000,152960804,4248,34714
list-none-s,1,1000,8,3000,1554168,518,209
list-none-s,2,1000,8,6000,6490940,1081,562
list-none-s,4,1000,8,12000,10057197,838,1081
list-none-s,8,1000,8,24000,19607362,816,1829
list-none-s,12,1000,8,36000,65056435,1807,12657
list-none-s,1,1000,16,3000,799309,266,34
list-none-s,2,1000,16,6000,1431878,238,109
list-none-s,4,1000,16,12000,3967716,330,337
list-none-s,8,1000,16,24000,8435625,351,1018
list-none-s,12,1000,16,36000,18330168,509,3090
