 
list-none-none,1,10,1,30,197836,6594
list-none-none,1,100,1,300,268360,894
list-none-none,1,1000,1,3000,5006640,1668
list-none-none,1,10000,1,30000,763173580,25439
list-none-none,1,20000,1,60000,3619818719,60330
list-none-none,4,1,1,12,135369,11280
list-none-none,4,10,1,120,145651,1213
list-none-none,8,1,1,24,231600,9650
list-none-none,12,1,1,36,349791,9716
list-none-none,12,10,1,360,312690,868
list-i-none,2,1,1,6,115648,19274
list-i-none,2,32,1,192,178612,930
list-i-none,4,2,1,24,149009,6208
list-i-none,4,8,1,96,151544,1578
list-i-none,8,4,1,96,252853,2633
list-i-none,12,1,1,36,437719,12158
list-i-none,12,4,1,144,424920,2950
list-d-none,2,1,1,6,114336,19056
list-d-none,2,2,1,12,111935,9327
list-d-none,2,8,1,48,122136,2544
list-d-none,2,16,1,96,107265,1117
list-d-none,4,1,1,12,140181,11681
list-d-none,4,4,1,48,258664,5388
list-d-none,4,8,1,96,164705,1715
list-d-none,4,16,1,192,111651,581
list-d-none,8,1,1,24,1457228,60717
list-d-none,8,2,1,48,247438,5154
list-d-none,12,1,1,36,331825,9217
list-d-none,12,2,1,72,386472,5367
list-d-none,12,4,1,144,359032,2493
list-il-none,2,1,1,6,80157,13359
list-il-none,2,2,1,12,87230,7269
list-il-none,2,4,1,24,123397,5141
list-il-none,2,8,1,48,136121,2835
list-il-none,2,32,1,192,473272,2464
list-il-none,4,1,1,12,118784,9898
list-il-none,8,1,1,24,220460,9185
list-il-none,8,2,1,48,210049,4376
list-il-none,8,4,1,96,251203,2616
list-dl-none,2,1,1,6,107480,17913
list-dl-none,2,2,1,12,74163,6180
list-dl-none,2,4,1,24,100729,4197
list-dl-none,2,8,1,48,117869,2455
list-dl-none,2,16,1,96,160255,1669
list-dl-none,2,32,1,192,448117,2333
list-dl-none,4,1,1,12,148360,12363
list-dl-none,4,4,1,48,146053,3042
list-dl-none,4,16,1,192,290222,1511
list-dl-none,8,1,1,24,213404,8891
list-dl-none,8,4,1,96,220919,2301
list-dl-none,8,16,1,384,561705,1462
list-dl-none,12,2,1,72,406501,5645
list-i-m,12,32,1,1152,2283108,1981
list-d-m,12,32,1,1152,2315417,2009
list-il-m,12,32,1,1152,12964519,11253
list-dl-m,12,32,1,1152,12747372,11065
list-i-s,12,32,1,1152,6892189,5982
list-d-s,12,32,1,1152,3496931,3035
list-il-s,12,32,1,1152,25967558,22541
list-dl-s,12,32,1,1152,17277894,14998
list-none-none,1,1000,1,3000,4935387,1645
list-none-m,1,1000,1,3000,5023402,1674
list-none-m,2,1000,1,6000,29625930,4937
list-none-m,4,1000,1,12000,103369689,8614
list-none-m,8,1000,1,24000,405302902,16887
list-none-m,12,1000,1,36000,941596809,26155
list-none-m,16,1000,1,48000,1734621757,36137
list-none-m,24,1000,1,72000,3674834078,51039
list-none-s,1,1000,1,3000,4945918,1648
list-none-s,2,1000,1,6000,31935786,5322
list-none-s,4,1000,1,12000,210541753,17545
list-none-s,8,1000,1,24000,1732465092,72186
list-none-s,12,1000,1,36000,3918892873,108858
list-none-s,16,1000,1,48000,14223636313,296325
list-none-s,24,1000,1,72000,61199491414,849992
