 
add-none,2,100,400,393323,983,0
add-none,2,1000,4000,423409,105,0
add-none,2,10000,40000,855135,21,-1378
add-none,2,100000,400000,7880417,19,-16221
add-none,4,100,800,548940,686,0
add-none,4,1000,8000,320046,40,87
add-none,4,10000,80000,2071902,25,1944
add-none,4,100000,800000,17193626,21,-894
add-none,8,100,1600,466830,291,0
add-none,8,1000,16000,502626,31,143
add-none,8,10000,160000,3647508,22,-2534
add-none,8,100000,1600000,32763667,20,-30072
add-none,12,100,2400,877754,365,-4
add-none,12,1000,24000,1867821,77,0
add-none,12,10000,240000,4631282,19,593
add-none,12,100000,2400000,49922070,20,-18929
add-yield-none,2,10,40,252702,6317,1
add-yield-none,4,10,80,249610,3120,0
add-yield-none,8,10,160,1386709,8666,11
add-yield-none,12,10,240,1743492,7264,0
add-yield-none,2,20,80,554620,6932,0
add-yield-none,4,20,160,628638,3928,0
add-yield-none,8,20,320,638264,1994,19
add-yield-none,12,20,480,1628423,3392,0
add-yield-none,2,40,160,415730,2598,0
add-yield-none,4,40,320,739577,2311,0
add-yield-none,8,40,640,672241,1050,44
add-yield-none,12,40,960,827497,861,113
add-yield-none,2,80,320,872808,2727,39
add-yield-none,4,80,640,964640,1507,78
add-yield-none,8,80,1280,972578,759,34
add-yield-none,12,80,1920,1874046,976,163
add-yield-none,2,100,400,1287568,3218,25
add-yield-none,4,100,800,1159557,1449,86
add-yield-none,8,100,1600,1315618,822,131
add-yield-none,12,100,2400,2308604,961,422
add-yield-none,2,1000,4000,8870385,2217,127
add-yield-none,4,1000,8000,8985272,1123,47
add-yield-none,8,1000,16000,9148178,571,521
add-yield-none,12,1000,24000,11310391,471,348
add-yield-none,2,10000,40000,75351300,1883,29
add-yield-none,4,10000,80000,80531405,1006,0
add-yield-none,8,10000,160000,96589215,603,-330
add-yield-none,12,10000,240000,171726063,715,953
add-yield-none,2,100000,400000,597062237,1492,-7618
add-yield-none,4,100000,800000,1020383104,1275,-53518
add-yield-none,8,100000,1600000,1066013428,666,-50948
add-yield-none,12,100000,2400000,938628614,391,-11379
add-none,1,100,200,299219,1496,0
add-none,1,1000,2000,192930,96,0
add-none,1,10000,20000,517457,25,0
add-none,1,100000,200000,1948740,9,0
add-none,1,1000000,2000000,15168920,7,0
add-none,2,100,400,487025,1217,0
add-none,2,1000,4000,565696,141,0
add-none,2,10000,40000,930663,23,-6615
add-none,2,100000,400000,6284926,15,-20614
add-none,2,1000000,4000000,58095380,14,-289719
add-none,4,100,800,548033,685,0
add-none,4,1000,8000,785054,98,0
add-none,4,10000,80000,1711471,21,-459
add-none,4,100000,800000,16217106,20,-37140
add-none,4,1000000,8000000,155814343,19,-520210
add-yield-none,1,100,200,490791,2453,0
add-yield-none,1,1000,2000,1874998,937,0
add-yield-none,1,10000,20000,47203525,2360,0
add-yield-none,1,100000,200000,523042766,2615,0
add-yield-none,1,1000000,2000000,2794110545,1397,0
add-yield-none,2,100,400,1135963,2839,0
add-yield-none,2,1000,4000,6605572,1651,145
add-yield-none,2,10000,40000,92663326,2316,-7463
add-yield-none,2,100000,400000,657215983,1643,-51243
add-yield-none,2,1000000,4000000,4024287757,1006,-867253
add-yield-none,4,100,800,1168386,1460,78
add-yield-none,4,1000,8000,9281543,1160,107
add-yield-none,4,10000,80000,84150230,1051,71
add-yield-none,4,100000,800000,721512590,901,-61011
add-yield-none,4,1000000,8000000,3224619754,403,-242043
add-yield-m,2,10000,40000,87508025,2187,0
add-yield-m,4,10000,80000,232347883,2904,0
add-yield-m,8,10000,160000,494537013,3090,0
add-yield-m,12,10000,240000,804975636,3354,0
add-yield-c,2,10000,40000,62095821,1552,0
add-yield-c,4,10000,80000,140497627,1756,0
add-yield-c,8,10000,160000,302729262,1892,0
add-yield-c,12,10000,240000,242950649,1012,0
add-yield-s,2,10000,40000,25885726,647,0
add-yield-s,4,10000,80000,226300570,2828,0
add-yield-s,8,1000,16000,39115829,2444,0
add-yield-s,12,1000,24000,56937991,2372,0
add-m,1,10000,20000,751556,37,0
add-m,2,10000,40000,3807184,95,0
add-m,4,10000,80000,14670808,183,0
add-m,8,10000,160000,61488461,384,0
add-m,12,10000,240000,98535092,410,0
add-c,1,10000,20000,558760,27,0
add-c,2,10000,40000,9520481,238,0
add-c,4,10000,80000,22378813,279,0
add-c,8,10000,160000,40333663,252,0
add-c,12,10000,240000,84862724,353,0
add-s,1,10000,20000,363076,18,0
add-s,2,10000,40000,8832695,220,0
add-s,4,10000,80000,13784429,172,0
add-s,8,10000,160000,44588602,278,0
add-s,12,10000,240000,81809658,340,0
